Variable_Level Variable_Size Variable_Capacity Contribution_0 Contribution_1 Mutability_0 Mutability_1 Mutability_2 Capacity_1 Capacity_2
1 100 8 0.687 0.286 77.030 0.000 0.000 8.000 50.000
1 100 8 0.699 0.278 74.720 0.000 0.000 8.000 50.000
1 100 8 0.710 0.266 70.400 0.000 0.000 8.000 50.000
1 100 8 0.710 0.265 70.160 0.000 0.000 8.000 50.000
1 100 8 0.711 0.266 70.200 0.000 0.000 8.000 50.000
1 100 8 0.700 0.269 72.270 0.000 0.000 8.000 50.000
1 100 8 0.690 0.291 75.210 0.000 0.000 8.000 50.000
1 100 8 0.710 0.264 72.010 0.000 0.000 8.000 50.000
1 100 8 0.698 0.279 71.830 0.000 0.000 8.000 50.000
1 100 8 0.706 0.269 71.300 0.000 0.000 8.000 50.000
1 100 8 0.702 0.263 69.130 0.000 0.000 8.000 50.000
1 100 8 0.703 0.275 76.480 0.000 0.000 8.000 50.000
1 100 8 0.715 0.268 77.060 0.000 0.000 8.000 50.000
1 100 8 0.693 0.278 73.290 0.000 0.000 8.000 50.000
1 100 8 0.710 0.269 77.010 0.000 0.000 8.000 50.000
1 100 8 0.701 0.277 75.460 0.000 0.000 8.000 50.000
1 100 8 0.703 0.276 77.730 0.000 0.000 8.000 50.000
1 100 8 0.690 0.283 77.490 0.000 0.000 8.000 50.000
1 100 8 0.709 0.273 79.090 0.000 0.000 8.000 50.000
1 100 8 0.681 0.295 78.500 0.000 0.000 8.000 50.000
1 100 8 0.692 0.287 76.750 0.000 0.000 8.000 50.000
1 100 8 0.718 0.251 66.630 0.000 0.000 8.000 50.000
1 100 8 0.693 0.277 73.510 0.000 0.000 8.000 50.000
1 100 8 0.689 0.281 69.680 0.000 0.000 8.000 50.000
1 100 8 0.683 0.290 75.480 0.000 0.000 8.000 50.000
1 100 8 0.721 0.257 76.330 0.000 0.000 8.000 50.000
1 100 8 0.675 0.295 71.200 0.000 0.000 8.000 50.000
1 100 8 0.719 0.255 72.010 0.000 0.000 8.000 50.000
1 100 8 0.711 0.268 70.050 0.000 0.000 8.000 50.000
1 100 8 0.691 0.282 77.340 0.000 0.000 8.000 50.000
1 100 8 0.694 0.281 75.930 0.000 0.000 8.000 50.000
1 100 8 0.701 0.280 77.560 0.000 0.000 8.000 50.000
1 100 8 0.696 0.264 66.780 0.000 0.000 8.000 50.000
1 100 8 0.689 0.291 76.230 0.000 0.000 8.000 50.000
1 100 8 0.671 0.302 78.770 0.000 0.000 8.000 50.000
1 100 8 0.678 0.294 73.730 0.000 0.000 8.000 50.000
1 100 8 0.703 0.268 75.930 0.000 0.000 8.000 50.000
1 100 8 0.723 0.253 73.070 0.000 0.000 8.000 50.000
1 100 8 0.704 0.268 68.740 0.000 0.000 8.000 50.000
1 100 8 0.683 0.295 81.590 0.000 0.000 8.000 50.000
1 100 8 0.681 0.294 76.630 0.000 0.000 8.000 50.000
1 100 8 0.719 0.255 68.340 0.000 0.000 8.000 50.000
1 100 8 0.690 0.283 69.570 0.000 0.000 8.000 50.000
1 100 8 0.692 0.274 71.610 0.000 0.000 8.000 50.000
1 100 8 0.722 0.257 76.340 0.000 0.000 8.000 50.000
1 100 8 0.730 0.243 70.780 0.000 0.000 8.000 50.000
1 100 8 0.719 0.261 78.540 0.000 0.000 8.000 50.000
1 100 8 0.728 0.252 75.110 0.000 0.000 8.000 50.000
1 100 8 0.707 0.265 72.160 0.000 0.000 8.000 50.000
1 100 8 0.690 0.281 76.330 0.000 0.000 8.000 50.000
1 100 8 0.684 0.287 78.460 0.000 0.000 8.000 50.000
1 100 8 0.700 0.272 67.800 0.000 0.000 8.000 50.000
